member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
422,Флорини,BЖЗ,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,5,,0.0,0.0,
717,Оленеголовый,Это не имеет смысла.,, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,4,,0.0,0.0,
849,Квентин,"Я не могу перевести это, потому что это не английский текст. Пожалуйста, предоставьте текст для перевода.",, , ,,,,,,13.10.1999 10:41,12.10.2000 10:41,5,,0.0,0.0,
1006,Райан,МРХСЯБРКДВИЛ,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:45,9,,0.0,0.0,
1411,Гохан,SFYXVTSYPSMEU,, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:50,9,,0.0,0.0,
1508,Цукер,"Это сообщение содержит код или другой символический текст, который не предназначен для чтения человеком. Я не могу переводить или интерпретировать его, поскольку он не является естественным языком. Пожалуйста, предоставьте мне текст, который нужно перевести, и я сделаю это с радостью!",, , ,,,,,,13.10.1999 10:41,2000-10-12 10:41:51,7,433.0,0.0,0.0,
2504,ХАН,БВЯДНМСИНД,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,6,380.0,0.0,0.0,
2840,Флорини,Учи,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,5,,0.0,0.0,
3287,Кахрманн,УВКСЛПРМИКЛ,, , ,,,,,,"13.10.1999 г., 10:42",12.10.2000 10:42,8,,0.0,0.0,
3728,Джонс,БЖЕ,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,8,,0.0,0.0,
4403,Инфанте,ХХФЗФЗФУФЛХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,2,,0.0,0.0,
4565,Оленеголовый,QTVVTVG,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:30,5,,0.0,0.0,
4816,Флорини,Скорость света в вакууме,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,4,,0.0,0.0,
5757,Кахрманн,"Пожалуйста, предоставьте текст для перевода, и я с радостью выполню вашу просьбу.",, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,8,,0.0,0.0,
6048,Пэйнтер,ЛВКПХML,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,7,,0.0,0.0,
6340,ВАНН,BDFDEBDZDXDMXD,, , ,,,,,,13.10.1999 10:42,"20 октября 2000 года, 10:42 утра",5,486.0,0.0,0.0,
6382,Линг,CМЕВСХЖКСЦСЛРПЛ,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:52,8,,0.0,0.0,
6554,Барр,Тефихджсолр,, , ,,,,,,13.10.1999 10:42,2000-10-12 10:42:54,9,,0.0,0.0,
6828,Пэйнтер,"Переклад: ""PFG HTC""",, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,3,,0.0,0.0,
6909,Штайн,НЧФ,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,5,,0.0,0.0,
6912,ВАНН,ЕИРФНСНЛК,, , ,,,,,,13.10.1999 10:42,12.10.2000 10:42,4,,0.0,0.0,
8824,Джонс,SDBF,, , ,,,,,,13.10.1999 10:43,2000-10-12 10:43:22,6,,0.0,0.0,
9185,Гохан,МТДКПВДМ,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,9,,0.0,0.0,
9486,ВАНН,ВУГОНЕХВОДИТЕЛЬНАЯ,, , ,,,,,,13.10.1999 10:43,12.10.2000 10:43,8,,0.0,0.0,
