member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
1,ANDERSON,QDQRJVEINMJYHK,, , ,,,,,,1999-10-13T10:41:32,2000-10-12T10:41:32,8,,0.0,0.0,
5,EFLIN,IHNTOYGVFXJHUX,, , ,,,,,,1999-10-13T10:41:32,2000-10-12T10:41:32,4,,0.0,0.0,
13,MAKAI,DNUKQYMLVY,, , ,,,,,,1999-10-13T10:41:32,2000-10-12T10:41:32,2,,0.0,0.0,
52,ZUCKER,BWRAE,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,6,,0.0,0.0,
55,CHEN,GIO,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,8,,0.0,0.0,
59,GOHAN,YCDTPEFA,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,9,,0.0,0.0,
64,LING,ZDNX,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,7,,0.0,0.0,
75,WOLFMULE,BCOQSYPQYQGAWI,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,7,,0.0,0.0,
89,KAHRMANN,DQKGORWE,, , ,,,,,,1999-10-13T10:41:33,2000-10-12T10:41:33,4,,0.0,0.0,
114,JONES,HHFSEQZLA,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,7,,0.0,0.0,
118,NELSON,TJGKJPTXLSMMEN,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,5,,0.0,0.0,
120,PAYNTER,IETUNHOITJLSEN,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,9,,0.0,0.0,
121,QUINT,GOTBGYA,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,9,,0.0,0.0,
129,YEONG,CYBIQYOJWLFIH,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,7,,0.0,0.0,
131,ANDERSON,DNHNV,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,6,441.0,0.0,0.0,
143,MAKAI,GIEBOBKLRDNDXU,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,2,459.0,0.0,0.0,
152,VANN,ZJRCMAB,, , ,,,,,,1999-10-13T10:41:34,2000-10-12T10:41:34,4,,0.0,0.0,
185,CHEN,UIYROWJPXNTMOE,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,6,,0.0,0.0,
194,LING,SCMFYRJYGYEDCY,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,9,,0.0,0.0,
201,STEIN,YRMWCUEJOOABMT,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,4,,0.0,0.0,
204,VANN,WNXTGHSU,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,6,,0.0,0.0,
224,PAYNTER,NVOJLGVERXECT,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,9,281.0,0.0,0.0,
227,STEIN,HMGLGHXKLAWS,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,7,,0.0,0.0,
243,INFANTE,IPIXFW,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,3,,0.0,0.0,
248,NELSON,UNKBSSRW,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,3,,0.0,0.0,
257,WOLFMULE,NLONLRQGRMCXBC,, , ,,,,,,1999-10-13T10:41:35,2000-10-12T10:41:35,2,,0.0,0.0,
270,JONES,BIMWADSFSPUM,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,6,,0.0,0.0,
281,UNAKLET,GHCBFGEMVUS,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,3,,0.0,0.0,
304,RYAN,HLDVOFPCL,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,9,,0.0,0.0,
320,HAHN,AEVOGUVKHWKEUD,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,9,,0.0,0.0,
321,INFANTE,RJMTWVSYDVVVIT,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,4,,0.0,0.0,
326,NELSON,DCLLNSEHCTPVT,, , ,,,,,,1999-10-13T10:41:36,2000-10-12T10:41:36,6,,0.0,0.0,
354,PAYNTER,QOZAMIVHEW,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,9,,0.0,0.0,
359,UNAKLET,NETO,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,5,,0.0,0.0,
369,EFLIN,YIWPJKTUTFBB,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,2,,0.0,0.0,
379,OLPHANT,KCCOOXWIDNTSUP,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,7,,0.0,0.0,
384,TOLSKY,LYBJFSEIKOMWUF,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,5,,0.0,0.0,
395,EFLIN,HWEJLEI,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,6,,0.0,0.0,
398,HAHN,ZTURJYWCFXFTUI,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,4,,0.0,0.0,
399,INFANTE,LPM,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,4,,0.0,0.0,
402,LING,PAGBJIQVIOFDLP,, , ,,,,,,1999-10-13T10:41:37,2000-10-12T10:41:37,6,,0.0,0.0,
430,NELSON,AJYZLLWKJP,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,6,492.0,0.0,0.0,
437,UNAKLET,BFHLRPRUWGVPKF,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,3,,0.0,0.0,
441,YEONG,GOIJMMJWC,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,8,,0.0,0.0,
443,ANDERSON,LEGQ,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,2,,0.0,0.0,
448,FLORINI,QVJRJWWGTHRD,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,4,,0.0,0.0,
456,NELSON,LNYELU,, , ,,,,,,1999-10-13T10:41:38,2000-10-12T10:41:38,3,,0.0,0.0,
