customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
ANATR,Ана Трухильо Эмпаредадос y helados,Ана Трухильо,Владелец,Avda. de la Constitucin 2222,Mxico D.F.,,05021,Мексика,5) 555-4729,5) 555-3745
SPLIR,Разделить железнодорожное пиво & Ale,Искусство Брауншвейгер,Менеджер по продажам,P.O. Вставка 555,Посадка,WY,82520,США,(307) 555-4680,(307) 555-6525
PARIS,Парижские спциалиты,Мария Бертран,Владелец,"265, бульвар Шаронн",Париж,,75012,Франция,1) 42.34.22.66,1) 42.34.22.77
BLAUS,Блейер См. Delikatessen,Ханна Мус,Представитель по продажам,Форстерстр. 57,Мангейм,,68306,Германия,0621-08460,0621-08924
BSBEV,Напитки B's Weverages,Виктория Эшворт,Представитель по продажам,Циркуляция Fauntleroy,Лондон,,EC2 5NT,Соединенное Королевство,(171) 555-1212,
FAMIA,Фамилия Аркибалдо,Ария Круз,Помощник по маркетингу,"Руа Орс, 92",Сан-Паулу,СП,05442-030,Бразилия,11) 555-9857,
WANDK,Умереть Вандернде Ку,Рита Мллер,Представитель по продажам,Adenauerallee 900,Штутгарт,,70563,Германия,0711-020361,0711-035428
BONAP,Приятного приложения,Лоренс Лебихан,Владелец,"12, ручей кухонь",Марсель,,13008,Франция,91.24.45.40,91.24.45.41
SAVEA,Рынки &quot; сберегать &quot;,Хосе Паваротти,Представитель по продажам,187 Suffolk Ln.,Бойз,Идентификационный номер,83720,США,(208) 555-8097,
LAUGB,Смеющиеся винные винные винные винные винные винные винные,Йоши Таннамури,Помощник по маркетингу,1900 Oak St.,Ванкувер,БК,V3F 2K1,Канада,(604) 555-3392,(604) 555-7293
FISSA,FISA Fabrica Inter. Salchicas S.A.,Диего Роул,Бухгалтер,"C/ Мораль, 86",Мадрид,,28034,Испания,(91) 555 94 44,(91) 555 55 93
MAGAA,Магазини Алиментари Риунти,Джованни Ровелли,Управляющий маркетингом,Виа Людовико Иль Моро 22,Бергамо,,24100,Италия,035-640230,035-640231
WOLZA,Вольски Зажазд,Збишек Пьестреньевич,Владелец,ul. filtrowa 68,Вашава,,01-012,Польша,(26) 642-7012,(26) 642-7012
MEREP,Мр Пайард,Жан Фресниер,Помощник по маркетингу,43 руэ Сент-Лоран,Монреаль,Qubec,H1J 1C3,Канада,(514) 555-8054,(514) 555-8055
