au_id,au_lname,au_fname,phone,address,city,state,zip,contract
998-72-3567,Звонок,Альберт,801 826-0752,67 Семьнадцатая авеню,Солт-Лейк-Сити,УТ,84152,1
724-80-9391,МакФеэр,Стернс,415 354-7128,44 Упланд Хайтс,Окленд,Калифорния,94612,1
238-95-7766,Карсон,Черил,415 548-7723,589 Дарвин-ли.,Бёркли,Калифорния,94705,1
274-80-9391,Прямо,Дэн,415 834-2919,5420 College Ав.,Окленд,Калифорния,94609,1
527-72-3246,Грин,Утро́свет,615 297-2723,22 Грейбар Хаус Ридж,Нашвилл,ТН,37215,0
486-29-1786,Локсли,Шарлен,415 585-4620,18 Брод-авеню,Сан-Франциско,Калифорния,94130,1
807-91-6654,Пантелей,Сильвия,301 946-8853,"Арлингтон-плейс, 1956.",Роквилл,МД,20853,1
267-41-2394,О'Лери,Майкл,408 286-2428,"22 Cleveland-авеню, номер 14",Сан-Хосе,Калифорния,95128,1
756-30-7391,Карсен,Ливия,415 534-9219,5720 Макоули-стрит.,Окленд,Калифорния,94609,1
846-92-7186,Хантер,Шерил,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
427-17-2319,Тёплый,Анна,415 836-7128,"Блонд-стрит, 3410",Пало-Альто,Калифорния,94301,1
724-08-9931,Стрингер,Дирк,415 843-2991,5420 телеграф-авеню,Окленд,Калифорния,94609,0
712-45-1867,дель Касильо,Иннес,615 996-8275,2286 Cram Pl. № 86,Анн-Арбор,МИ,48105,1
722-51-5454,Дефренс,Мишель,219 547-9982,3 Балдинг Плейс,Гэри,В,46403,1
341-22-1782,Смит,переводить,913 843-0462,10 Миссисипи-драйв,Лоуренс,Кс,66044,0
409-56-7008,Беннет,Авраам,415 658-9932,"улица Батемана, 6223",Бёркли,Калифорния,94705,1
472-27-2349,Гринглзби,Берт,707 938-6445,Пошта №792,Ковело,Калифорния,95428,1
899-46-2035,Звонок,Анна,801 826-0752,67 Семьнадцатая авеню,Солт-Лейк-Сити,УТ,84152,1
213-46-8915,Зеленый,Маржори,415 986-7020,309 63-я улица #411,Окленд,Калифорния,94618,1
893-72-1158,Мэбден,Хе́дер,707 448-4982,Путамэн,Вакавилл,Калифорния,95688,0
172-32-1176,Белый,Джонсон,408 496-7223,10932 Бигг-роуд.,Менло-Парк,Калифорния,94025,1
672-71-3249,Йокомото,Акико,415 935-4228,3 Сильвер Ct.,Ореховый ручей,Калифорния,94595,1
648-92-1872,Блотчетт-Холлз,Реджинальд,503 745-6402,55 Хиллсдейл-блайв.,Корваллис,О'Райс,97330,1
