emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
MAP77183M,Мигель,A,Паоло,11,112,1389,1992-12-07 00:00:00
PTC11962M,Филип,Добро пожаловать! Как я могу вам помочь?,Крамер,2,215,9952,11.11.1989 00:00
AMD15433F,Анн,"Да, конечно! Я всегда рад помочь.",Дэвен,3,200,9952,1991-07-16 00:00:00
F-C16315M,Франсиско,,Чанг,4,227,9952,1990-11-03 00:00:00
MFS52347M,Мартин,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Зима,10,165,736,1990-04-13 00:00:00
RBM23061F,Рита,B,Мюллер,5,198,1622,1993-10-09 00:00:00
CGS88322F,Карине,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Шмитт,13,64,1389,1992-07-07 00:00:00
DBT39435M,Даниэль,B,Тонини,11,75,877,1990-01-01
LAL21447M,Лауринс,A,Лебихан,5,175,736,1990-06-03 00:00:00
L-B31947F,Лесли,,бурый,7,120,877,1991-02-13 00:00:00
M-P91209M,Мануэль,,Перейра,8,101,9999,1989-01-09 00:00:00
A-C71970F,Ария,,Крус,10,87,1389,1991-10-26 00:00:00
ARD36773F,Анелюба,Р,Домингуш,8,100,877,1993-01-27 00:00:00
PXH22250M,Пол,x,Анриот,5,159,877,19 сентября 1993 года
PHF38899M,Питер,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Франкен,10,75,877,1992-05-17 00:00:00
M-R38834F,Мартин,,Ранс,9,75,877,1992-02-05 00:00:00
VPA30890F,Виктория,П,Ашворث,6,140,877,1990-09-13 00:00:00
GHT50241M,Гарри,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Томас,9,170,736,1988-08-09 00:00:00
PDI47470M,Пале,Да.,Ибсен,7,195,736,1993-05-09 00:00:00
M-L67958F,Мэри,,Ларссон,7,135,1389,1992-03-27 00:00:00
POK93028M,Пиркко,О,Коскила,10,80,9999,1993-11-29 00:00:00
JYL26161F,Джинн,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Лабруне,5,172,9901,1991-05-26 00:00:00
TPO55093M,Тимоти,П,О'Рурк,13,100,736,1988-06-19
HAN90777M,Хелвейс,A,Нагай,7,120,9999,1993-03-19 00:00:00
DWR65030M,Диего,Здравствуйте! Как Вам сегодня?,Роэль,6,192,1389,1991-12-16 00:00:00
PCM98509F,Патриция,С,Маккенна,11,150,9999,1989-08-01 00:00:00
PSP68661F,Паула,Здравствуйте! Как я могу вам помочь сегодня?,Паранте,8,125,1389,1994-01-19
A-R89858F,Аннетт,,Рулетка,6,152,9999,1990-02-21 00:00:00
CFH28514M,Карлос,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Хернандес,5,211,9999,21.04.1989 г.
Y-L77953M,Йоси,,Лैтимер,12,32,1389,1989-06-11 00:00:00
PMA42628M,Па́во,"Да, конечно! Я всегда рад помочь.",Аккорти,13,35,877,1992-08-27 00:00:00
KJJ92907F,Карла,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Яблоновский,9,170,9999,11.03.1994 г.
MGK44605M,Мати,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Карттунеэн,6,220,736,1994-05-01 00:00:00
MAS70474F,Маргарет,A,Смит,9,78,1389,1988-09-29
HAS54740M,Ховард,A,Снайдер,12,100,736,1988-11-19
MMS49649F,Мэри,"Да, конечно! Я всегда рад помочь.",Савелей,8,175,736,1993-06-29 00:00:00
KFJ64308F,Карин,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Иосифы,14,100,736,1992-10-17 00:00:00
MJP25939M,Мэри,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Понтес,5,246,1756,1989-03-01 00:00:00
R-M53550M,Роланд,,Мендель,11,150,736,1991-09-05 00:00:00
ENL44273F,Элизабет,"Да, конечно! Я всегда рад помочь с переводом.",Линкольн,14,35,877,1990-07-24 00:00:00
SKO22412M,Свен,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Оттлеб,5,150,1389,1991-04-05 00:00:00
H-B39728F,Элен,,Бэнетт,12,35,877,1989-09-21
PSA89086M,Педро,Здравствуйте! Как я могу вам помочь сегодня?,Афонсо,14,89,1389,1990-12-24
