actor_id,first_name,last_name,last_update
1,ПЕНЕЛОПА,Гиннесс,2006-02-15 03:34:33
12,Карл,ЯГЕД,2006-02-15 03:34:33
14,Вивьен,БЕРГЕН,2006-02-15 03:34:33
16,ФРЕД,Костер,2006-02-15 03:34:33
20,Люси́лла,Трейси,2006-02-15 03:34:33
21,Кирирсэн,Пالتроу,2006-02-15 03:34:33
28,УОДИ,ХОФМАН,2006-02-15 03:34:33
29,Алек,Уэйн,2006-02-15 03:34:33
41,Джоди,Дегенерас,2006-02-15 03:34:33
42,Том,Миранда,2006-02-15 03:34:33
45,РЕЕС,КИЛМЕР,2006-02-15 03:34:33
52,КАРМЕएन,Охота,2006-02-15 03:34:33
61,Христиан,Нисон,2006-02-15 03:34:33
62,Джейн,Нисон,2006-02-15 03:34:33
73,ГЭРИИ,ПЕНН,2006-02-15 03:34:33
74,МИЛЛА,Кейтел,2006-02-15 03:34:33
76,Angelина,Астайр,2006-02-15 03:34:33
77,Кэри,Мэконнагхи,2006-02-15 03:34:33
81,Скарлетт,ДАМОН,2006-02-15 03:34:33
82,УОДИ,ЖОЛЬЕ,2006-02-15 03:34:33
91,Кристофер,ЯГЕД,2006-02-15 03:34:33
97,МЭГ,ХОКЕ,2006-02-15 03:34:33
99,Джим,Мостель,2006-02-15 03:34:33
101,Сусан,ДАВИС,2006-02-15 03:34:33
103,Матиас,Лей.,2006-02-15 03:34:33
107,Гина,Дегенерас,2006-02-15 03:34:33
113,Морган,Хопкинс,2006-02-15 03:34:33
119,Уоррен,Джекман,2006-02-15 03:34:33
124,Скарлетт,БЕНИНГ,2006-02-15 03:34:33
125,Альберт,No te,2006-02-15 03:34:33
128,Кейт,McQueen,2006-02-15 03:34:33
131,ДЖЕЙН,Джекман,2006-02-15 03:34:33
138,Люси́лла,ДЭ,2006-02-15 03:34:33
142,Яда,Ридер,2006-02-15 03:34:33
144,Ангела,Уитерсpoon,2006-02-15 03:34:33
147,Фей,Уинслет,2006-02-15 03:34:33
158,Вивьен,Бэйзингер,2006-02-15 03:34:33
159,ЛУРА,Броди,2006-02-15 03:34:33
160,Кирилл,ДЕПП,2006-02-15 03:34:33
163,Кристофер,Запад,2006-02-15 03:34:33
168,ЖЕЛАНИЙ,ВИЛОН,2006-02-15 03:34:33
181,Матиас,Каррей,2006-02-15 03:34:33
194,МЭРЫЛЬ,Аллен,2006-02-15 03:34:33
