actor_id,first_name,last_name,last_update
1,ПЕНЕЛОП,РУКОВОДСТВО,2006-02-15T03:34:33
12,КАРЛ,БЕРРИ,2006-02-15T03:34:33
14,ВИВЕН,БЕРГЕН,2006-02-15T03:34:33
16,ФРЕД,КОЛИЧЕСТВО,2006-02-15T03:34:33
20,ИЗЛОЖЕНИЕ,Трейси,2006-02-15T03:34:33
21,КИСТЕН,ПОЛОЖЕНИЕ,2006-02-15T03:34:33
28,ВУДЬЕ,Хозяин,2006-02-15T03:34:33
29,АЛЕК,Уэйн,2006-02-15T03:34:33
41,JODIE,ДЕГЕНЕРЫ,2006-02-15T03:34:33
42,ТОМ,МИРАНДА,2006-02-15T03:34:33
45,РЕС,КИЛМЕР,2006-02-15T03:34:33
52,АВТОМОБИЛЬНЫЕ ТРАНСПОРТНЫЕ СРЕДСТВА,МЯСО,2006-02-15T03:34:33
61,ХРИСТИАНСКИЙ,НЕСОН,2006-02-15T03:34:33
62,ДЖЕЙН,НЕСОН,2006-02-15T03:34:33
73,Гэри,ПЕНН,2006-02-15T03:34:33
74,МИЛЛА,КИТЕЛЬ,2006-02-15T03:34:33
76,АНГЕЛЬИНА,УСТРОЙСТВО,2006-02-15T03:34:33
77,Кэри,MCCONAUGHEY,2006-02-15T03:34:33
81,СКАРЛЕТТ,ОДИН,2006-02-15T03:34:33
82,ВУДЬЕ,Джули,2006-02-15T03:34:33
91,КРИСТОФЕР,БЕРРИ,2006-02-15T03:34:33
97,МГЭ,ХАЙК,2006-02-15T03:34:33
99,ДЖИМ,МОСТЕЛ,2006-02-15T03:34:33
101,СУСАН,ДАВИС,2006-02-15T03:34:33
103,МАТФЕЯ,ЛЕГКО,2006-02-15T03:34:33
107,ГИНА,ДЕГЕНЕРЫ,2006-02-15T03:34:33
113,МОРГАН,ГОЛОСОВАНИЕ,2006-02-15T03:34:33
119,ВАРРЕН,ЯКМАН,2006-02-15T03:34:33
124,СКАРЛЕТТ,БЕНИНГ,2006-02-15T03:34:33
125,АЛЬБЕРТ,Ноль,2006-02-15T03:34:33
128,КИТ,МИКВЕН,2006-02-15T03:34:33
131,ДЖАН,ЯКМАН,2006-02-15T03:34:33
138,ИЗЛОЖЕНИЕ,УБН,2006-02-15T03:34:33
142,ДЖАДА,RYDER,2006-02-15T03:34:33
144,Анхела,СЛЕДУЕТ,2006-02-15T03:34:33
147,ЧЕТВЕРТЫЙ,ВИНСЛЕТ,2006-02-15T03:34:33
158,ВИВЕН,БАЗИНГЕР,2006-02-15T03:34:33
159,ЛАУРА,Брюс,2006-02-15T03:34:33
160,КРИС,DEPP,2006-02-15T03:34:33
163,КРИСТОФЕР,ЗАХОД,2006-02-15T03:34:33
168,УИЛЛ,ВИЛСОН,2006-02-15T03:34:33
181,МАТФЕЯ,КАРРИ,2006-02-15T03:34:33
194,МИРИЛ,ВСЕГО,2006-02-15T03:34:33
