customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
16,2,САНДРА,МАРТИН,SANDRA.MARTIN@sakilaQuicer.org,20,0,2006-02-14T22:04:36,2006-02-15T03:57:20
22,1,ЛАУРА,РОДРИГЕС,LAURA.RODRIGUZ@sakila Customer.org,26,1,2006-02-14T22:04:36,2006-02-15T03:57:20
25,1,ДЕБОРА,ВОЛКЕР,DEBORAH.WALKER@sakilacubiler.org,29,1,2006-02-14T22:04:36,2006-02-15T03:57:20
30,1,МЕЛИСИЯ,Кинг,MELISA.KING@sakilacubiler.org,34,1,2006-02-14T22:04:36,2006-02-15T03:57:20
42,2,КАРОЛИН,ПЕРЕС,CAROLYN.PEREZ@sakila Customer.org,46,1,2006-02-14T22:04:36,2006-02-15T03:57:20
50,1,ДИАН,КОЛЛИНЫ,DIANE.COLLINS@sakila Customer.org,54,1,2006-02-14T22:04:36,2006-02-15T03:57:20
60,1,УМЕНЬШЕНЫ,Бэйли,MILDRED.BAILEY@sakila Quicer.org,64,1,2006-02-14T22:04:36,2006-02-15T03:57:20
63,1,Ашли,РИХАРДСОН,ASHLI.RICHARDSON@sakila Customer.org,67,1,2006-02-14T22:04:36,2006-02-15T03:57:20
81,1,Андрея,ХЕНДЕРСОН,Andrea.HENDERSON@sakila Quicer.org,85,1,2006-02-14T22:04:36,2006-02-15T03:57:20
82,1,Кэтрин,КОЛИЧЕК,KATRIN.COLEMAN@sakilacubiler.org,86,1,2006-02-14T22:04:36,2006-02-15T03:57:20
85,2,АННЕ,POWELLL,ANNE.POWELL@sakila Customer.org,89,1,2006-02-14T22:04:36,2006-02-15T03:57:20
89,1,ЮЛИЯ,ФЛОРЫ,JULIA.FLORES@sakila Customer.org,93,1,2006-02-14T22:04:36,2006-02-15T03:57:20
95,2,ПАУЛА,БРЕЖЕНЧЕСКИЙ,PAULA.BRYANT@sakila Customer.org,99,1,2006-02-14T22:04:36,2006-02-15T03:57:20
105,1,ДАУН,СОЛЛИВАН,DAWN.SULLIVAN@sakila Customer.org,109,1,2006-02-14T22:04:36,2006-02-15T03:57:20
109,2,ЭДНА,ЗАХОД,ECNA.WEST@sakila Customer.org,113,1,2006-02-14T22:04:36,2006-02-15T03:57:20
116,1,ВИКТОРИЯ,ГИБСОН,ВИКТОРИЯ. ГИБСОН@sakilacubileer.org,120,1,2006-02-14T22:04:36,2006-02-15T03:57:20
125,1,ЭТИЛЬ,УЭББ,ETHEL.WEBB@sakilacubiler.org,129,1,2006-02-14T22:04:36,2006-02-15T03:57:20
130,1,ЧАРЛОТ,УСТРОЙСТВА,CHARLOTTE.HUNTER@sakila Customer.org,134,1,2006-02-14T22:04:36,2006-02-15T03:57:20
140,1,ЭВА,РАМОС,EVA.RAMOS@sakila Customer.org,144,1,2006-02-14T22:04:36,2006-02-15T03:57:20
146,1,ДЖЕЙМИ,РИСЬ,JAMEI.RICE@sakila Customer.org,150,1,2006-02-14T22:04:36,2006-02-15T03:57:20
169,2,ЭРИКА,МАТЕРИАЛЫ,ERICA.MATTTHEWS@sakila Customer.org,173,0,2006-02-14T22:04:36,2006-02-15T03:57:20
188,1,Мелани,АРМТРОН,MELANIE.ARMSTRONG@sakila Customer.org,192,1,2006-02-14T22:04:36,2006-02-15T03:57:20
193,2,Кэти,Эллиотт,KATIE.ELLIOTT@sakila Customer.org,197,1,2006-02-14T22:04:36,2006-02-15T03:57:20
204,1,РЕМЕЛЯ,ШМИДТ,ROSEMARY.SCHMIDT@sakila Quicer.org,208,1,2006-02-14T22:04:36,2006-02-15T03:57:20
211,1,СТАКИ,МЕСТО ПРОВЕДЕНИЯ,CTACY.MONTGOMERY@sakila Customer.org,215,1,2006-02-14T22:04:36,2006-02-15T03:57:20
217,2,СМВП,Бишоп,SMNES.BISHOP@sakilacubiler.org,221,1,2006-02-14T22:04:36,2006-02-15T03:57:20
220,2,ЧАРЛЕН,АЛВАРЕС,CHARLENE.ALVARES@sakilacubileer.org,224,1,2006-02-14T22:04:36,2006-02-15T03:57:20
