actor_id,first_name,last_name,last_update
7,GRACE,MOSTEL,2006-02-15T03:34:33
8,MATTHEW,JOHANSSON,2006-02-15T03:34:33
11,ZERO,CAGE,2006-02-15T03:34:33
13,UMA,WOOD,2006-02-15T03:34:33
20,LUCILLE,TRACY,2006-02-15T03:34:33
23,SANDRA,KILMER,2006-02-15T03:34:33
25,KEVIN,BLOOM,2006-02-15T03:34:33
28,WOODY,HOFFMAN,2006-02-15T03:34:33
32,TIM,HACKMAN,2006-02-15T03:34:33
34,AUDREY,OLIVIER,2006-02-15T03:34:33
37,VAL,BOLGER,2006-02-15T03:34:33
40,JOHNNY,CAGE,2006-02-15T03:34:33
43,KIRK,JOVOVICH,2006-02-15T03:34:33
52,CARMEN,HUNT,2006-02-15T03:34:33
56,DAN,HARRIS,2006-02-15T03:34:33
57,JUDE,CRUISE,2006-02-15T03:34:33
58,CHRISTIAN,AKROYD,2006-02-15T03:34:33
59,DUSTIN,TAUTOU,2006-02-15T03:34:33
66,MARY,TANDY,2006-02-15T03:34:33
70,MICHELLE,MCCONAUGHEY,2006-02-15T03:34:33
76,ANGELINA,ASTAIRE,2006-02-15T03:34:33
78,GROUCHO,SINATRA,2006-02-15T03:34:33
80,RALPH,CRUZ,2006-02-15T03:34:33
84,JAMES,PITT,2006-02-15T03:34:33
85,MINNIE,ZELLWEGER,2006-02-15T03:34:33
92,KIRSTEN,AKROYD,2006-02-15T03:34:33
93,ELLEN,PRESLEY,2006-02-15T03:34:33
95,DARYL,WAHLBERG,2006-02-15T03:34:33
99,JIM,MOSTEL,2006-02-15T03:34:33
104,PENELOPE,CRONYN,2006-02-15T03:34:33
107,GINA,DEGENERES,2006-02-15T03:34:33
108,WARREN,NOLTE,2006-02-15T03:34:33
109,SYLVESTER,DERN,2006-02-15T03:34:33
110,SUSAN,DAVIS,2006-02-15T03:34:33
112,RUSSELL,BACALL,2006-02-15T03:34:33
114,MORGAN,MCDORMAND,2006-02-15T03:34:33
115,HARRISON,BALE,2006-02-15T03:34:33
118,CUBA,ALLEN,2006-02-15T03:34:33
120,PENELOPE,MONROE,2006-02-15T03:34:33
121,LIZA,BERGMAN,2006-02-15T03:34:33
123,JULIANNE,DENCH,2006-02-15T03:34:33
125,ALBERT,NOLTE,2006-02-15T03:34:33
127,KEVIN,GARLAND,2006-02-15T03:34:33
128,CATE,MCQUEEN,2006-02-15T03:34:33
129,DARYL,CRAWFORD,2006-02-15T03:34:33
131,JANE,JACKMAN,2006-02-15T03:34:33
140,WHOOPI,HURT,2006-02-15T03:34:33
141,CATE,HARRIS,2006-02-15T03:34:33
146,ALBERT,JOHANSSON,2006-02-15T03:34:33
148,EMILY,DEE,2006-02-15T03:34:33
156,FAY,WOOD,2006-02-15T03:34:33
162,OPRAH,KILMER,2006-02-15T03:34:33
163,CHRISTOPHER,WEST,2006-02-15T03:34:33
169,KENNETH,HOFFMAN,2006-02-15T03:34:33
171,OLYMPIA,PFEIFFER,2006-02-15T03:34:33
174,MICHAEL,BENING,2006-02-15T03:34:33
177,GENE,MCKELLEN,2006-02-15T03:34:33
178,LISA,MONROE,2006-02-15T03:34:33
179,ED,GUINESS,2006-02-15T03:34:33
180,JEFF,SILVERSTONE,2006-02-15T03:34:33
189,CUBA,BIRCH,2006-02-15T03:34:33
191,GREGORY,GOODING,2006-02-15T03:34:33
192,JOHN,SUVARI,2006-02-15T03:34:33
194,MERYL,ALLEN,2006-02-15T03:34:33
197,REESE,WEST,2006-02-15T03:34:33
199,JULIA,FAWCETT,2006-02-15T03:34:33
