customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
25,1,Дебора,УОКЕР,ДЕБОРАХ.УОЛКЕР@sakilacustomer.ru,29,1,14.02.2006 22:04,2006-02-14 20:57:20
27,2,ШИРЛИ,Аллен,Шири. Аллен@sakilacustomer.org,31,1,14.02.2006 22:04,2006-02-14 20:57:20
28,1,ЦИНТИА,молодой,Цинфия.Юнг@сакилаклиент.рф,32,1,14.02.2006 22:04,2006-02-14 20:57:20
47,1,Франц,Паркер,FRANCES.PARKER@sakilacustomer.ru,51,1,14.02.2006 22:04,2006-02-14 20:57:20
55,2,ДОРИС,РЕЕД,Дорис. Рид@сакила клиент.ORG,59,1,14.02.2006 22:04,2006-02-14 20:57:20
73,2,Беверли,БРУКС,БЕВЕРЛИ.БРОУКС@сакилакустомер.рф,77,1,14.02.2006 22:04,2006-02-14 20:57:20
80,1,Марилин,Росс,"Марилин. Росс

marilyn.ross@sakilacustomer.org",84,1,14.02.2006 22:04,2006-02-14 20:57:20
82,1,Кэтрин,КОЛМАН,Кэтрин.Колман@сакилаклиент.ру,86,1,14.02.2006 22:04,2006-02-14 20:57:20
110,2,Тиффани,Иордания,Тифани.Джордан@sakilacustomer.org,114,1,14.02.2006 22:04,2006-02-14 20:57:20
114,2,ГРАС,ЭЛИС,ГРЕЦ.ЭЛЛИСС@сакилакустомер.рф,118,1,14.02.2006 22:04,2006-02-14 20:57:20
116,1,Виктория,ГИБОН,Виктория.Гибсон@sakilacustomer.орг,120,1,14.02.2006 22:04,2006-02-14 20:57:20
118,1,КИМ,КРУЗ,Ким.Круза@сакилаклиент.ру,122,1,14.02.2006 22:04,2006-02-14 20:57:20
120,2,Сильвия,Орти́з,Сильвия.Ортиз@сакилаклиент.ру,124,1,14.02.2006 22:04,2006-02-14 20:57:20
137,2,Ронда,Кеннеди,Ронда. Кеннеди@sakilacustomer.org,141,1,14.02.2006 22:04,2006-02-14 20:57:20
148,1,Элеонора,ХОУТ,Елена.Хант@sakilacustomer.ру,152,1,14.02.2006 22:04,2006-02-14 20:57:20
150,2,Даниэль,Даниэлы,ДАНИЭЛЛЕ. ДАНИЕЛЬС@сакилакустомер.орг,154,1,14.02.2006 22:04,2006-02-14 20:57:20
161,1,Жеральдина,Перкинс,GERALDINE.PERKINS@sakilacustomer.ru,165,1,14.02.2006 22:04,2006-02-14 20:57:20
169,2,Эрика,МАТВЕЙ,Эрика. Мэттхьюс@sakilacustomer.орг,173,0,14.02.2006 22:04,2006-02-14 20:57:20
194,2,Кристен,ЧАВЕС,КРИСТЕН.ХАВЕЦ@sakilacustomer.org,198,1,14.02.2006 22:04,2006-02-14 20:57:20
199,2,БЕТХ,ФРэнклин,БЕТХ.ФРэнКЛИН@сакилакустомер.рф,203,1,14.02.2006 22:04,2006-02-14 20:57:20
200,2,ЖАННА,Лоусон,Жанна.Лоунсон@сакилакустомер.ру,204,1,14.02.2006 22:04,2006-02-14 20:57:20
215,2,Джесси,БАНКИ,Jessie.Banks@sakilacustomer.org,219,1,14.02.2006 22:04,2006-02-14 20:57:20
221,1,БЕССИЕ,Моррисон,Бесси.Моррисон@sakilacustomer.org,225,1,14.02.2006 22:04,2006-02-14 20:57:20
222,2,ДЕЛОРЕС,ХАССЕН,ДЕЛОРЕС.ХАНСЕН@sakilacustomer.org,226,1,14.02.2006 22:04,2006-02-14 20:57:20
239,2,Мини,Ромеро,MINNIE.ROMERO@sakilacustomer.org,243,1,14.02.2006 22:04,2006-02-14 20:57:20
260,1,КРИСТИ,Варгас,Чристи.Варгас@sakilacustomer.org,265,1,14.02.2006 22:04,2006-02-14 20:57:20
