member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,photograph,issue_dt,expr_dt,region_no,corp_no,prev_balance,curr_balance,member_code
831,YEONG,JUNGGWVBBTG,, , ,,,,,,1999-10-13T10:41:42,2000-10-12T10:41:42,5,,0.0,0.0,
1946,VANN,WTVNFF,, , ,,,,,,1999-10-13T10:41:57,2000-10-12T10:41:57,5,,0.0,0.0,
2339,YEONG,TTGDLE,, , ,,,,,,1999-10-13T10:42:02,2000-10-12T10:42:02,3,,0.0,0.0,
2775,STEIN,QKIWSONSVSUXET,, , ,,,,,,1999-10-13T10:42:07,2000-10-12T10:42:07,5,,0.0,0.0,
3019,CHEN,RNSKHUNELGAQBB,, , ,,,,,,1999-10-13T10:42:10,2000-10-12T10:42:10,9,,0.0,0.0,
3245,UNAKLET,ICATQIRNJJUSLK,, , ,,,,,,1999-10-13T10:42:13,2000-10-12T10:42:13,4,,0.0,0.0,
3510,ZUCKER,YODB,, , ,,,,,,1999-10-13T10:42:16,2000-10-12T10:42:16,3,472.0,0.0,0.0,
3563,ANDERSON,ZYRLVGQTLKOV,, , ,,,,,,1999-10-13T10:42:17,2000-10-12T10:42:17,5,,0.0,0.0,
3740,VANN,ICFLUFDUKSYO,, , ,,,,,,1999-10-13T10:42:19,2000-10-12T10:42:19,4,496.0,0.0,0.0,
3742,XAVIER,TXXJYWECRBHFZJ,, , ,,,,,,1999-10-13T10:42:19,2000-10-12T10:42:19,5,,0.0,0.0,
4413,STEIN,FCMHITFQRRFTEW,, , ,,,,,,1999-10-13T10:42:28,2000-10-12T10:42:28,8,463.0,0.0,0.0,
4609,GOHAN,YVOGUWJF,, , ,,,,,,1999-10-13T10:42:30,2000-10-12T10:42:30,8,,0.0,0.0,
4744,LING,DTSQLMOWMLY,, , ,,,,,,1999-10-13T10:42:32,2000-10-12T10:42:32,4,,0.0,0.0,
4865,CHEN,OVANAJPAYYBR,, , ,,,,,,1999-10-13T10:42:34,2000-10-12T10:42:34,5,,0.0,0.0,
5131,INFANTE,IMSHRLLPTXQUTS,, , ,,,,,,1999-10-13T10:42:37,2000-10-12T10:42:37,3,,0.0,0.0,
5221,UNAKLET,GRRBA,, , ,,,,,,1999-10-13T10:42:38,2000-10-12T10:42:38,8,,0.0,0.0,
5222,VANN,UWNSFRXHFZPUER,, , ,,,,,,1999-10-13T10:42:38,2000-10-12T10:42:38,8,,0.0,0.0,
5333,CHEN,FXSGJUB,, , ,,,,,,1999-10-13T10:42:39,2000-10-12T10:42:39,5,,0.0,0.0,
5476,PAYNTER,YNSLCYRFZFJQLY,, , ,,,,,,1999-10-13T10:42:41,2000-10-12T10:42:41,6,,0.0,0.0,
5691,WOLFMULE,BKLVMHUVXBHTMJ,, , ,,,,,,1999-10-13T10:42:43,2000-10-12T10:42:43,7,,0.0,0.0,
5859,INFANTE,VCFTJLNYIWVPY,, , ,,,,,,1999-10-13T10:42:46,2000-10-12T10:42:46,5,,0.0,0.0,
5962,HAHN,SGTRW,, , ,,,,,,1999-10-13T10:42:47,2000-10-12T10:42:47,4,,0.0,0.0,
6275,INFANTE,VEMFDWIEGIMCRT,, , ,,,,,,1999-10-13T10:42:51,2000-10-12T10:42:51,4,,0.0,0.0,
6345,ANDERSON,ZEQPEX,, , ,,,,,,1999-10-13T10:42:52,2000-10-12T10:42:52,4,,0.0,0.0,
6702,TOLSKY,GZCMGSRKDJVGVE,, , ,,,,,,1999-10-13T10:42:56,2000-10-12T10:42:56,8,,0.0,0.0,
6727,STEIN,OHYCDBNLCLQ,, , ,,,,,,1999-10-13T10:42:56,2000-10-12T10:42:56,9,,0.0,0.0,
6746,LING,GOZNQQEXVVJCPJ,, , ,,,,,,1999-10-13T10:42:56,2000-10-12T10:42:56,5,,0.0,0.0,
6918,BARR,ULWQCDOFVJUFMX,, , ,,,,,,1999-10-13T10:42:59,2000-10-12T10:42:59,3,,0.0,0.0,
